,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores
113,2,euclidean,8,5,3,"[0.7040816326530612, 0.7192709490997999]"
114,2,euclidean,8,5,4,"[0.7271517302573203, 0.6979328739719938]"
115,2,euclidean,8,10,0,"[0.748890860692103, 0.7506112469437652]"
116,2,euclidean,8,10,1,"[0.7497781721384206, 0.7486108024005335]"
117,2,euclidean,8,10,2,"[0.7502218278615794, 0.7503889753278506]"
118,2,euclidean,8,10,3,"[0.7384649511978705, 0.750166703711936]"
119,2,euclidean,8,10,4,"[0.7404614019520852, 0.7361635919093131]"
120,2,euclidean,9,1,0,"[0.59849157054126, 0.5750166703711936]"
121,2,euclidean,9,1,1,"[0.6126885536823425, 0.6061346965992442]"
122,2,euclidean,9,1,2,"[0.6060337178349601, 0.5776839297621694]"
123,2,euclidean,9,1,3,"[0.5942768411712511, 0.5896865970215603]"
124,2,euclidean,9,1,4,"[0.5953859804791481, 0.5881306957101579]"
125,2,euclidean,9,5,0,"[0.716282165039929, 0.702822849522116]"
126,2,euclidean,9,5,1,"[0.7089618456078084, 0.7232718381862636]"
127,2,euclidean,9,5,2,"[0.7080745341614907, 0.7166036897088242]"
128,2,euclidean,9,5,3,"[0.7040816326530612, 0.7254945543454101]"
129,2,euclidean,9,5,4,"[0.7287045252883763, 0.6977106023560792]"
130,2,euclidean,9,10,0,"[0.7484472049689441, 0.75083351855968]"
131,2,euclidean,9,10,1,"[0.7497781721384206, 0.7481662591687042]"
132,2,euclidean,9,10,2,"[0.7495563442768411, 0.7499444320960214]"
133,2,euclidean,9,10,3,"[0.7384649511978705, 0.7492776172482774]"
134,2,euclidean,9,10,4,"[0.7406832298136646, 0.7357190486774838]"
135,2,euclidean,10,1,0,"[0.5944986690328306, 0.5750166703711936]"
136,2,euclidean,10,1,1,"[0.6104702750665484, 0.5934652144921093]"
137,2,euclidean,10,1,2,"[0.6106921029281278, 0.5776839297621694]"
138,2,euclidean,10,1,3,"[0.5942768411712511, 0.5979106468104023]"
139,2,euclidean,10,1,4,"[0.5882874889086069, 0.6023560791286953]"
140,2,euclidean,10,5,0,"[0.7020851818988465, 0.7034896643698599]"
141,2,euclidean,10,5,1,"[0.7180567879325643, 0.7303845298955324]"
142,2,euclidean,10,5,2,"[0.7102928127772848, 0.7166036897088242]"
143,2,euclidean,10,5,3,"[0.7043034605146407, 0.7234941098021782]"
144,2,euclidean,10,5,4,"[0.728039041703638, 0.7001555901311403]"
145,2,euclidean,10,10,0,"[0.7484472049689441, 0.75083351855968]"
146,2,euclidean,10,10,1,"[0.748890860692103, 0.7506112469437652]"
147,2,euclidean,10,10,2,"[0.7504436557231589, 0.7499444320960214]"
148,2,euclidean,10,10,3,"[0.7384649511978705, 0.7521671482551678]"
149,2,euclidean,10,10,4,"[0.7426796805678794, 0.7403867526116915]"
150,2,euclidean,11,1,0,"[0.6018189884649512, 0.5814625472327184]"
151,2,euclidean,11,1,1,"[0.6164596273291926, 0.5934652144921093]"
152,2,euclidean,11,1,2,"[0.6091393078970718, 0.5774616581462547]"
153,2,euclidean,11,1,3,"[0.5971606033717834, 0.5947988441875972]"
154,2,euclidean,11,1,4,"[0.5849600709849158, 0.6003556345854635]"
155,2,euclidean,11,5,0,"[0.7169476486246673, 0.7103800844632141]"
156,2,euclidean,11,5,1,"[0.718944099378882, 0.7303845298955324]"
157,2,euclidean,11,5,2,"[0.7091836734693877, 0.7168259613247389]"
158,2,euclidean,11,5,3,"[0.6965394853593612, 0.7257168259613247]"
159,2,euclidean,11,5,4,"[0.7284826974267968, 0.6992665036674817]"
160,2,euclidean,11,10,0,"[0.748890860692103, 0.7506112469437652]"
161,2,euclidean,11,10,1,"[0.7477817213842058, 0.7506112469437652]"
162,2,euclidean,11,10,2,"[0.7517746228926353, 0.7492776172482774]"
163,2,euclidean,11,10,3,"[0.7426796805678794, 0.75083351855968]"
164,2,euclidean,11,10,4,"[0.7431233362910381, 0.7403867526116915]"
165,2,euclidean,12,1,0,"[0.6018189884649512, 0.5747943987552789]"
166,2,euclidean,12,1,1,"[0.6082519964507542, 0.5925761280284507]"
167,2,euclidean,12,1,2,"[0.6106921029281278, 0.5754612136030229]"
168,2,euclidean,12,1,3,"[0.59472049689441, 0.6016892642809514]"
169,2,euclidean,12,1,4,"[0.5871783496007098, 0.6005779062013781]"
170,2,euclidean,12,5,0,"[0.7167258207630879, 0.7079350966881529]"
171,2,euclidean,12,5,1,"[0.7133984028393966, 0.7292731718159591]"
172,2,euclidean,12,5,2,"[0.7040816326530612, 0.715492331629251]"
173,2,euclidean,12,5,3,"[0.6985359361135759, 0.718604134252056]"
174,2,euclidean,12,5,4,"[0.7191659272404614, 0.6992665036674817]"
175,2,euclidean,12,10,0,"[0.7497781721384206, 0.7499444320960214]"
176,2,euclidean,12,10,1,"[0.7480035492457853, 0.75083351855968]"
177,2,euclidean,12,10,2,"[0.7517746228926353, 0.748833074016448]"
178,2,euclidean,12,10,3,"[0.7411268855368234, 0.75083351855968]"
179,2,euclidean,12,10,4,"[0.743566992014197, 0.7403867526116915]"
180,2,euclidean,13,1,0,"[0.6038154392191659, 0.5790175594576572]"
181,2,euclidean,13,1,1,"[0.599600709849157, 0.5985774616581463]"
182,2,euclidean,13,1,2,"[0.610248447204969, 0.5747943987552789]"
183,2,euclidean,13,1,3,"[0.5913930789707187, 0.6012447210491221]"
184,2,euclidean,13,1,4,"[0.5896184560780834, 0.6083574127583907]"
185,2,euclidean,13,5,0,"[0.7160603371783496, 0.7090464547677262]"
186,2,euclidean,13,5,1,"[0.709849157054126, 0.7308290731273617]"
187,2,euclidean,13,5,2,"[0.703416149068323, 0.714825516781507]"
188,2,euclidean,13,5,3,"[0.6843389529724934, 0.7192709490997999]"
189,2,euclidean,13,5,4,"[0.7185004436557232, 0.6961547010446766]"
190,2,euclidean,13,10,0,"[0.7497781721384206, 0.7499444320960214]"
191,2,euclidean,13,10,1,"[0.7477817213842058, 0.7490553456323628]"
192,2,euclidean,13,10,2,"[0.7519964507542147, 0.7490553456323628]"
193,2,euclidean,13,10,3,"[0.7468944099378882, 0.75083351855968]"
