,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores,Relative error
138,2,euclidean,10,1,3,"[0.5942768411712511, 0.5979106468104023]",0.006077506160052
363,2,manhattan,10,1,3,"[0.5940550133096717, 0.5979106468104023]",0.006448511196947
213,2,euclidean,15,1,3,"[0.5916149068322981, 0.5954656590353412]",0.006466791400333
438,2,manhattan,15,1,3,"[0.5913930789707187, 0.5954656590353412]",0.006839319787509
348,2,manhattan,9,1,3,"[0.5940550133096717, 0.5896865970215603]",0.007408030486322
123,2,euclidean,9,1,3,"[0.5942768411712511, 0.5896865970215603]",0.007784209735944
168,2,euclidean,12,1,3,"[0.59472049689441, 0.6016892642809514]",0.011582003868508
393,2,manhattan,12,1,3,"[0.5944986690328306, 0.6016892642809514]",0.011950678988288
333,2,manhattan,8,1,3,"[0.59472049689441, 0.5876861524783286]",0.011969559579406
243,2,manhattan,2,1,3,"[0.5951641526175687, 0.5879084240942432]",0.012341596456122
18,2,euclidean,2,1,3,"[0.5951641526175687, 0.5879084240942432]",0.012341596456122
108,2,euclidean,8,1,3,"[0.5949423247559894, 0.5876861524783286]",0.012347019318153
273,2,manhattan,4,1,3,"[0.5811889973380656, 0.5730162258279617]",0.014262722662513
48,2,euclidean,4,1,3,"[0.581410825199645, 0.5730162258279617]",0.014649845839101
288,2,manhattan,5,1,3,"[0.5849600709849158, 0.5763503000666815]",0.014938433999667
63,2,euclidean,5,1,3,"[0.5851818988464951, 0.5763503000666815]",0.015323317744073
183,2,euclidean,13,1,3,"[0.5913930789707187, 0.6012447210491221]",0.016385411353322
408,2,manhattan,13,1,3,"[0.5911712511091393, 0.6012447210491221]",0.016754359060992
198,2,euclidean,14,1,3,"[0.5896184560780834, 0.6012447210491221]",0.019336993014678
423,2,manhattan,14,1,3,"[0.589396628216504, 0.6012447210491221]",0.019705940722347
258,2,manhattan,3,1,3,"[0.5816326530612245, 0.5699044232051567]",0.020579292559458
33,2,euclidean,3,1,3,"[0.5818544809228039, 0.5699044232051567]",0.020968529513142
318,2,manhattan,7,1,3,"[0.5964951197870453, 0.5801289175372305]",0.028211319510313
93,2,euclidean,7,1,3,"[0.5967169476486247, 0.5801289175372305]",0.028593696349105
