,n_splits,metric,k_best_features,n_neighbors,Scores,Relative error
19,2,euclidean,7,5,"[0.712111801242236, 0.702778395198933]",0.013280724204193838
78,2,manhattan,12,1,"[0.5996007098491571, 0.6083129584352078]",0.014321984210991755
33,2,euclidean,12,1,"[0.599600709849157, 0.6084018670815736]",0.01446602600783375
75,2,manhattan,11,1,"[0.5993788819875776, 0.61138030673483]",0.019630047966948443
30,2,euclidean,11,1,"[0.5993788819875776, 0.6114247610580129]",0.019701326864144372
24,2,euclidean,9,1,"[0.5940550133096717, 0.6090686819293176]",0.02465020623304398
69,2,manhattan,9,1,"[0.5940106477373559, 0.6090686819293176]",0.024723047890532073
72,2,manhattan,10,1,"[0.5951641526175688, 0.6105356745943543]",0.025177106951200595
27,2,euclidean,10,1,"[0.5951641526175687, 0.6105356745943543]",0.02517710695120074
21,2,euclidean,8,1,"[0.593522626441881, 0.6092020448988664]",0.02573763267585281
66,2,manhattan,8,1,"[0.5934782608695652, 0.6092020448988664]",0.025810458387268774
18,2,euclidean,7,1,"[0.592413487133984, 0.6093354078684151]",0.027771110156929218
63,2,manhattan,7,1,"[0.5923691215616681, 0.6093354078684151]",0.02784391992925331
48,2,manhattan,2,1,"[0.5799911268855368, 0.5971993776394754]",0.028814917426667346
3,2,euclidean,2,1,"[0.5799911268855368, 0.5971993776394754]",0.028814917426667346
15,2,euclidean,6,1,"[0.5897071872227152, 0.6116914869971104]",0.0359401761210044
60,2,manhattan,6,1,"[0.5896628216503992, 0.6116914869971104]",0.0360127054487114
6,2,euclidean,3,1,"[0.5834960070984916, 0.6067570571238053]",0.03833667816832233
51,2,manhattan,3,1,"[0.5834516415261757, 0.6067570571238053]",0.038409797338169814
0,2,euclidean,1,1,"[0.5736912156166815, 0.5974661035785729]",0.03979286493324019
45,2,manhattan,1,1,"[0.5736912156166815, 0.5974661035785729]",0.03979286493324019
12,2,euclidean,5,1,"[0.5876663708961845, 0.6136474772171595]",0.04233881387209021
57,2,manhattan,5,1,"[0.5876220053238687, 0.6136474772171595]",0.04241111201387841
9,2,euclidean,4,1,"[0.583318544809228, 0.6092020448988664]",0.04248754630154825
54,2,manhattan,4,1,"[0.5832741792369122, 0.6092020448988664]",0.04256037201296421
